timestamp,__name__,cpu,endpoint,id,instance,job,metrics_path,node,service,value,namespace,pod,container,image,name
1609948067.399,container_cpu_usage_seconds_total,total,https-metrics,/kmsg,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,16.802775994,,,,,
1609948101.789,container_cpu_usage_seconds_total,total,https-metrics,/kmsg,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,16.811511396,,,,,
1609948130.729,container_cpu_usage_seconds_total,total,https-metrics,/kmsg,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,16.818269776,,,,,
1609948175.298,container_cpu_usage_seconds_total,total,https-metrics,/kmsg,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,16.829450656,,,,,
1609948192.896,container_cpu_usage_seconds_total,total,https-metrics,/kmsg,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,16.837321651,,,,,
1609947932.971,container_cpu_usage_seconds_total,total,https-metrics,/kubepods,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,17397.983991914,,,,,
1609947961.842,container_cpu_usage_seconds_total,total,https-metrics,/kubepods,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,17403.093512156,,,,,
1609947991.531,container_cpu_usage_seconds_total,total,https-metrics,/kubepods,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,17408.710794268,,,,,
1609948022.454,container_cpu_usage_seconds_total,total,https-metrics,/kubepods,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,17414.007982831,,,,,
1609948052.236,container_cpu_usage_seconds_total,total,https-metrics,/kubepods,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,17419.59329952,,,,,
1609948083.004,container_cpu_usage_seconds_total,total,https-metrics,/kubepods,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,17425.312000959,,,,,
1609948101.771,container_cpu_usage_seconds_total,total,https-metrics,/kubepods,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,17428.950721302,,,,,
1609948139.472,container_cpu_usage_seconds_total,total,https-metrics,/kubepods,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,17435.037631974,,,,,
1609948168.839,container_cpu_usage_seconds_total,total,https-metrics,/kubepods,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,17439.843456558,,,,,
1609948199.099,container_cpu_usage_seconds_total,total,https-metrics,/kubepods,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,17445.080033864,,,,,
1609947927.544,container_cpu_usage_seconds_total,total,https-metrics,/kubepods/kubepods,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,17397.392834702,,,,,
1609947957.66,container_cpu_usage_seconds_total,total,https-metrics,/kubepods/kubepods,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,17402.565763654,,,,,
1609947987.762,container_cpu_usage_seconds_total,total,https-metrics,/kubepods/kubepods,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,17408.118605628,,,,,
1609948017.893,container_cpu_usage_seconds_total,total,https-metrics,/kubepods/kubepods,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,17413.393521867,,,,,
1609948047.999,container_cpu_usage_seconds_total,total,https-metrics,/kubepods/kubepods,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,17418.775880819,,,,,
1609948078.111,container_cpu_usage_seconds_total,total,https-metrics,/kubepods/kubepods,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,17424.61741832,,,,,
1609948108.212,container_cpu_usage_seconds_total,total,https-metrics,/kubepods/kubepods,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,17430.070293404,,,,,
1609948138.315,container_cpu_usage_seconds_total,total,https-metrics,/kubepods/kubepods,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,17434.9075027,,,,,
1609948168.412,container_cpu_usage_seconds_total,total,https-metrics,/kubepods/kubepods,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,17439.502363281,,,,,
1609948198.487,container_cpu_usage_seconds_total,total,https-metrics,/kubepods/kubepods,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,17445.023503396,,,,,
1609947931.495,container_cpu_usage_seconds_total,total,https-metrics,/kubepods/kubepods/besteffort,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,4231.564795838,,,,,
1609947953.822,container_cpu_usage_seconds_total,total,https-metrics,/kubepods/kubepods/besteffort,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,4232.793934197,,,,,
1609947992.789,container_cpu_usage_seconds_total,total,https-metrics,/kubepods/kubepods/besteffort,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,4235.12162125,,,,,
1609948022.141,container_cpu_usage_seconds_total,total,https-metrics,/kubepods/kubepods/besteffort,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,4236.635213714,,,,,
1609948041.952,container_cpu_usage_seconds_total,total,https-metrics,/kubepods/kubepods/besteffort,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,4237.946584384,,,,,
1609948080.44,container_cpu_usage_seconds_total,total,https-metrics,/kubepods/kubepods/besteffort,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,4240.111949876,,,,,
