timestamp,__name__,endpoint,id,instance,job,metrics_path,node,service,value,namespace,pod,container,image,name
1609947349.033,container_memory_usage_bytes,https-metrics,/002-bridge,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,4153344,,,,,
1609947380.8,container_memory_usage_bytes,https-metrics,/002-bridge,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,4153344,,,,,
1609947417.173,container_memory_usage_bytes,https-metrics,/002-bridge,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,4153344,,,,,
1609947150.059,container_memory_usage_bytes,https-metrics,/docker,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,3055616,,,,,
1609947180.327,container_memory_usage_bytes,https-metrics,/docker,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,3055616,,,,,
1609947209.912,container_memory_usage_bytes,https-metrics,/docker,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,3055616,,,,,
1609947220.541,container_memory_usage_bytes,https-metrics,/docker,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,3055616,,,,,
1609947267.022,container_memory_usage_bytes,https-metrics,/docker,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,3055616,,,,,
1609947305.213,container_memory_usage_bytes,https-metrics,/docker,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,3055616,,,,,
1609947330.552,container_memory_usage_bytes,https-metrics,/docker,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,3055616,,,,,
1609947344.472,container_memory_usage_bytes,https-metrics,/docker,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,3055616,,,,,
1609947387.51,container_memory_usage_bytes,https-metrics,/docker,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,3055616,,,,,
1609947419.382,container_memory_usage_bytes,https-metrics,/docker,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,3055616,,,,,
1609947148.245,container_memory_usage_bytes,https-metrics,/kmsg,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,13127680,,,,,
1609947180.631,container_memory_usage_bytes,https-metrics,/kmsg,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,13127680,,,,,
