,index,Iteration,pod,datapoint_x,cpu throttled total,datapoint_y,cpu usage,memory usage,cpu limit,memory limit,number of pods,average response time
20,146,21,webui,170.99236641221373,271.8523650714286,26.5,44.592112824261186,43.323461538461544,200.0,1000.0,1.0,665.0199717621301
21,153,22,webui,206.23115577889448,265.7672187818182,39.5,45.68529377508946,43.81769230769231,200.0,1000.0,2.0,565.8712036394478
22,160,23,webui,240.82824427480915,268.87598790833334,52.5,39.62106473384199,43.94846153846158,200.0,1000.0,3.0,538.150271511899
23,167,24,webui,168.96031746031747,461.7860588833334,26.5,57.723632240593275,47.451923076923094,200.0,1000.0,4.0,2525.5008163265306
24,174,25,webui,273.1707317073171,261.50266394375,65.5,32.78258253804627,43.812769230769256,200.0,1000.0,5.0,528.2932057658252
25,181,26,webui,141.98461538461538,153.2649185,13.5,24.85495600115817,36.85000000000001,300.0,600.0,1.0,701.1636734490822
26,188,27,webui,172.78125,246.9300647,26.5,42.67901835868292,39.46307692307692,300.0,600.0,2.0,611.4602030069098
27,195,28,webui,208.44162436548223,264.30887085555554,39.5,45.06675944697755,39.66461538461538,300.0,600.0,3.0,545.0587055033446
28,202,29,webui,240.82824427480915,264.39806113333333,52.5,39.23846697262148,39.7303846153846,300.0,600.0,4.0,528.2449306640468
29,209,30,webui,270.70588235294116,251.8682500333333,65.5,32.5118757033628,39.541076923076915,300.0,600.0,5.0,526.9616987717607
30,216,31,webui,201.05882352941177,597.8127628777778,39.5,59.91028380073858,48.07666666666666,300.0,700.0,1.0,1743.1006285934952
31,223,32,webui,228.5327868852459,706.2674300583334,52.5,59.569374775426326,47.77288461538463,300.0,700.0,2.0,1367.544893989607
32,230,33,webui,259.1862745098039,817.7930220625001,65.5,59.20386214403268,47.90046153846154,300.0,700.0,3.0,1117.0908212594834
33,237,34,webui,131.66666666666666,284.4329073,13.5,41.51240563563631,39.168461538461536,300.0,700.0,4.0,4960.796772684752
34,244,35,webui,162.05172413793105,448.0012215833333,26.5,56.9580009185286,42.038846153846166,300.0,700.0,5.0,2589.548159991748
35,251,36,webui,202.375,629.2499421166667,39.5,59.8543400580425,43.04923076923079,300.0,800.0,1.0,1776.512639776358
36,258,37,webui,237.4351145038168,742.8542833312499,52.5,61.20095868760073,43.35519230769233,300.0,800.0,2.0,1358.1726872983754
37,265,38,webui,161.29661016949152,463.57753896250006,26.5,57.33658417903344,59.97499999999999,300.0,800.0,3.0,3068.497577812765
38,272,39,webui,256.16339869281046,829.4731038800003,65.5,60.775312625791386,43.62938461538463,300.0,800.0,4.0,1121.3064986910338
39,279,40,webui,133.79032258064515,313.45011285,13.5,42.22000521458328,35.36538461538461,300.0,800.0,5.0,4826.692201108472
40,286,41,webui,166.82258064516128,463.4245890125,26.5,57.94153658607145,39.92346153846153,300.0,900.0,1.0,2500.664437106652
41,293,42,webui,195.19230769230768,608.0832950416666,39.5,59.293707099286785,39.71641025641028,300.0,900.0,2.0,1846.1098648603408
42,300,43,webui,224.5909090909091,726.069767875,52.5,61.71020211462145,40.13557692307697,300.0,900.0,3.0,1409.9820173830024
43,307,44,webui,268.9691358024691,811.447854925,65.5,60.92447030736539,40.32569230769229,300.0,900.0,4.0,1143.2834514682481
44,314,45,webui,138.375,234.230089125,13.5,35.322431791483865,54.214615384615385,300.0,900.0,5.0,1843.3783746556473
45,321,46,webui,168.61111111111111,385.46819035,26.5,51.154573921256286,62.771923076923045,300.0,1000.0,1.0,1397.5327978580992
46,328,47,webui,197.82258064516128,490.093462325,39.5,54.99723543927053,61.31000000000002,300.0,1000.0,2.0,990.0641053861393
47,335,48,webui,231.61111111111111,560.4592594,52.5,55.334692340729625,61.96230769230764,300.0,1000.0,3.0,808.1758748495788
