,index,CPU usage [%],Memory usage [%],Average response time [ms],Failures [%],Number of pods,CPU limit,Memory limit,Given memory limit
71,442,,,8.277227722756646,0.0,1.0,,,1000.0
72,449,,,7.095238095172573,0.0,2.0,,,1000.0
73,455,,,7.419354838821332,0.0,3.0,,,1000.0
74,460,,,7.366197183087729,0.0,4.0,,,1000.0
75,468,,,8.373684210509007,0.0,5.0,,,1000.0
76,471,,,35.87019230779403,0.0,1.0,,,200.0
77,481,,,8.068965517182741,0.0,2.0,,,200.0
78,482,,,7.156862745147259,0.0,3.0,,,200.0
79,493,,,8.615384615399517,0.0,4.0,1000.0,200.0,200.0
80,494,,,7.930131004417585,0.0,5.0,,,200.0
81,504,,,9.958333333343118,0.0,1.0,,,400.0
82,507,,,7.601941747646917,0.0,2.0,,,400.0
83,515,,,5.7627906976809165,0.0,3.0,,,400.0
84,520,,,5.78021978023801,0.0,4.0,,,400.0
85,526,,,7.060465116313047,0.0,5.0,,,400.0
86,533,,,7.188940092222229,0.0,1.0,,,600.0
87,537,,,8.78974358985523,0.0,2.0,,,600.0
88,546,,,6.855000000014115,0.0,3.0,,,600.0
89,548,,,7.376884422059511,0.0,4.0,,,600.0
90,559,,,5.8624338623577925,0.0,5.0,,,600.0
91,570,,,6.72500000007858,0.0,1.0,,,800.0
92,572,,,8.104477611944352,0.0,2.0,1000.0,200.0,800.0
93,581,,,9.42666666659837,0.0,3.0,,,800.0
94,585,,,5.754901960797581,0.0,4.0,,,800.0
95,592,,,7.0544554455409525,0.0,5.0,,,800.0
96,598,,,7.100478468936145,0.0,1.0,,,1000.0
97,603,,,8.254901960807569,0.0,2.0,,,1000.0
98,611,,,8.153846153950676,0.0,3.0,,,1000.0
99,614,,,8.179894180020758,0.0,4.0,,,1000.0
100,624,,,6.621761657966396,0.0,5.0,,,1000.0
101,625,,,8.236111111104778,0.0,1.0,,,200.0
102,636,,,7.796874999977869,0.0,2.0,,,200.0
103,637,,,7.0320855615000495,0.0,3.0,,,200.0
104,647,,,8.755102040818109,0.0,4.0,,,200.0
105,650,,,7.427083333425344,0.0,5.0,1000.0,400.0,200.0
106,658,,,6.925925925835535,0.0,1.0,,,400.0
107,663,,,9.457711442812425,0.0,2.0,,,400.0
108,669,,,6.965853658624749,0.0,3.0,,,400.0
109,676,,,9.577889447213073,0.0,4.0,,,400.0
110,680,,,6.661616161503421,0.0,5.0,,,400.0
111,689,,,8.010152284270756,0.0,1.0,,,600.0
112,691,,,6.565934066112367,0.0,2.0,,,600.0
113,702,,,8.325242718429648,0.0,3.0,,,600.0
114,713,,,8.21030042919045,0.0,4.0,,,600.0
115,715,,,9.480582524260685,0.0,5.0,,,600.0
116,724,,,6.704918032940197,0.0,1.0,,,800.0
117,728,,,6.601895734545569,0.0,2.0,,,800.0
118,735,,,8.525581395461327,0.0,3.0,1000.0,400.0,800.0
119,741,,,9.191387559818638,0.0,4.0,,,800.0
120,746,,,9.7547169810773,0.0,5.0,,,800.0
121,754,,,6.920212765974012,0.0,1.0,,,1000.0
122,757,,,7.154255319135777,0.0,2.0,,,1000.0
123,767,,,7.695187165825671,0.0,3.0,,,1000.0
124,768,,,8.010752688219767,0.0,4.0,,,1000.0
125,779,,,18.724770642205456,0.0,5.0,,,1000.0
126,780,,,,,,,,
127,790,,,,,,,,
128,793,,,,,,,,
129,801,,,,,,,,
130,806,,,,,,,,
131,812,,,,,,1000.0,400.0,
132,819,,,,,,,,
133,823,,,,,,,,
134,832,,,,,,,,
135,834,,,,,,,,
136,845,,,,,,,,
137,856,,,,,,,,
138,858,,,,,,,,
139,867,,,,,,,,
140,871,,,,,,,,
141,878,,,,,,,,
142,884,,,,,,,,
143,889,,,,,,,,
144,897,,,,,,1000.0,400.0,
145,900,,,,,,,,
146,910,,,,,,,,
147,911,,,,,,,,
148,922,,,,,,,,
149,923,,,,,,,,
150,933,,,,,,,,
151,936,,,,,,,,
152,944,,,,,,,,
153,949,,,,,,,,
154,955,,,,,,,,
155,962,,,,,,,,
156,966,,,,,,,,
157,975,,,,,,200.0,600.0,
158,977,,,,,,,,
159,988,,,,,,,,
160,999,,,,,,,,
161,1001,,,,,,,,
162,1010,,,,,,,,
163,1014,,,,,,,,
164,1021,,,,,,,,
165,1027,,,,,,,,
166,1032,,,,,,,,
167,1040,,,,,,,,
168,1043,,,,,,,,
169,1053,,,,,,,,
170,1054,,,,,,1000.0,400.0,
171,1065,,,,,,,,
172,1066,,,,,,,,
173,1076,,,,,,,,
174,1079,,,,,,,,
175,1087,,,,,,,,
176,1092,,,,,,,,
177,1098,,,,,,,,
178,1105,,,,,,,,
179,1109,,,,,,,,
180,1118,,,,,,,,
181,1120,,,,,,,,
182,1131,,,,,,,,
183,1142,,,,,,1000.0,600.0,
184,1144,,,,,,,,
185,1153,,,,,,,,
186,1157,,,,,,,,
187,1164,,,,,,,,
188,1170,,,,,,,,
189,1175,,,,,,,,
190,1183,,,,,,,,
191,1186,,,,,,,,
192,1196,,,,,,,,
193,1197,,,,,,,,
194,1208,,,,,,,,
195,1209,,,,,,,,
196,1219,,,,,,1000.0,600.0,
197,1222,,,,,,,,
198,1230,,,,,,,,
199,1235,,,,,,,,
200,1241,,,,,,,,
201,1248,,,,,,,,
202,1252,,,,,,,,
203,1261,,,,,,,,
204,1263,,,,,,,,
205,1273,,,,,,,,
206,1274,,,,,,,,
207,1284,,,,,,,,
208,1287,,,,,,,,
209,1295,0.7499009822873034,0.0014765086258755411,,,,1000.0,600.0,
210,1300,,,,,,,,
211,1305,,,,,,,,
212,1313,,,,,,,,
213,1316,,,,,,,,
214,1326,,,,,,,,
215,1327,,,,,,,,
216,1338,,,,,,,,
217,1339,,,,,,,,
218,1349,,,,,,,,
219,1352,,,,,,,,
220,1360,,,,,,,,
221,1365,,,,,,,,
222,1378,,,,,,1000.0,600.0,
223,1391,,,,,,,,
224,1404,,,,,,,,
225,1417,,,,,,,,
226,1430,,,,,,,,
227,1443,,,,,,,,
228,1456,,,,,,,,
229,1469,,,,,,,,
230,1482,,,,,,,,
231,1495,,,,,,,,
232,1508,,,,,,,,
233,1521,,,,,,,,
234,1534,,,,,,,,
235,1547,,,,,,1000.0,600.0,
236,1560,,,,,,,,
237,1573,,,,,,,,
238,1586,,,,,,,,
239,1599,,,,,,,,
240,1612,,,,,,,,
