,level_0,index,CPU usage [%],Memory usage [%],Average response time [ms],Failures [%],Number of pods,CPU limit,Memory limit,Given memory limit
102,102,636,,,7.796874999977869,0.0,2.0,,,200.0
103,103,637,,,7.0320855615000495,0.0,3.0,,,200.0
104,104,647,,,8.755102040818109,0.0,4.0,,,200.0
105,105,650,,,7.427083333425344,0.0,5.0,,,200.0
106,106,658,,,6.925925925835535,0.0,1.0,1000.0,400.0,400.0
107,107,663,,,9.457711442812425,0.0,2.0,,,400.0
108,108,669,,,6.965853658624749,0.0,3.0,,,400.0
109,109,676,,,9.577889447213073,0.0,4.0,,,400.0
110,110,680,,,6.661616161503421,0.0,5.0,,,400.0
111,111,689,,,8.010152284270756,0.0,1.0,,,600.0
112,112,691,,,6.565934066112367,0.0,2.0,,,600.0
113,113,702,,,8.325242718429648,0.0,3.0,,,600.0
114,114,713,,,8.21030042919045,0.0,4.0,,,600.0
115,115,715,,,9.480582524260685,0.0,5.0,,,600.0
116,116,724,,,6.704918032940197,0.0,1.0,,,800.0
117,117,728,,,6.601895734545569,0.0,2.0,,,800.0
118,118,735,,,8.525581395461327,0.0,3.0,,,800.0
119,119,741,,,9.191387559818638,0.0,4.0,1000.0,400.0,800.0
120,120,746,,,9.7547169810773,0.0,5.0,,,800.0
121,121,754,,,6.920212765974012,0.0,1.0,,,1000.0
122,122,757,,,7.154255319135777,0.0,2.0,,,1000.0
123,123,767,,,7.695187165825671,0.0,3.0,,,1000.0
124,124,768,,,8.010752688219767,0.0,4.0,,,1000.0
125,125,779,,,18.724770642205456,0.0,5.0,,,1000.0
126,126,780,,,,,,,,
127,127,790,,,,,,,,
128,128,793,,,,,,,,
129,129,801,,,,,,,,
130,130,806,,,,,,,,
131,131,812,,,,,,,,
132,132,819,,,,,,1000.0,400.0,
133,133,823,,,,,,,,
134,134,832,,,,,,,,
135,135,834,,,,,,,,
136,136,845,,,,,,,,
137,137,856,,,,,,,,
138,138,858,,,,,,,,
139,139,867,,,,,,,,
140,140,871,,,,,,,,
141,141,878,,,,,,,,
142,142,884,,,,,,,,
143,143,889,,,,,,,,
144,144,897,,,,,,,,
145,145,900,,,,,,1000.0,400.0,
146,146,910,,,,,,,,
147,147,911,,,,,,,,
148,148,922,,,,,,,,
149,149,923,,,,,,,,
150,150,933,,,,,,,,
151,151,936,,,,,,,,
152,152,944,,,,,,,,
153,153,949,,,,,,,,
154,154,955,,,,,,,,
155,155,962,,,,,,,,
156,156,966,,,,,,,,
157,157,975,,,,,,,,
158,158,977,,,,,,200.0,600.0,
159,159,988,,,,,,,,
160,160,999,,,,,,,,
161,161,1001,,,,,,,,
162,162,1010,,,,,,,,
163,163,1014,,,,,,,,
164,164,1021,,,,,,,,
165,165,1027,,,,,,,,
166,166,1032,,,,,,,,
167,167,1040,,,,,,,,
168,168,1043,,,,,,,,
169,169,1053,,,,,,,,
170,170,1054,,,,,,,,
171,171,1065,,,,,,1000.0,400.0,
172,172,1066,,,,,,,,
173,173,1076,,,,,,,,
174,174,1079,,,,,,,,
175,175,1087,,,,,,,,
176,176,1092,,,,,,,,
177,177,1098,,,,,,,,
178,178,1105,,,,,,,,
179,179,1109,,,,,,,,
180,180,1118,,,,,,,,
181,181,1120,,,,,,,,
182,182,1131,,,,,,,,
183,183,1142,,,,,,,,
184,184,1144,,,,,,1000.0,600.0,
185,185,1153,,,,,,,,
186,186,1157,,,,,,,,
187,187,1164,,,,,,,,
188,188,1170,,,,,,,,
189,189,1175,,,,,,,,
190,190,1183,,,,,,,,
191,191,1186,,,,,,,,
192,192,1196,,,,,,,,
193,193,1197,,,,,,,,
194,194,1208,,,,,,,,
195,195,1209,,,,,,,,
196,196,1219,,,,,,,,
197,197,1222,,,,,,1000.0,600.0,
198,198,1230,,,,,,,,
199,199,1235,,,,,,,,
200,200,1241,,,,,,,,
201,201,1248,,,,,,,,
202,202,1252,,,,,,,,
203,203,1261,,,,,,,,
204,204,1263,,,,,,,,
205,205,1273,,,,,,,,
206,206,1274,,,,,,,,
207,207,1284,,,,,,,,
208,208,1287,,,,,,,,
209,209,1295,,,,,,,,
210,210,1300,1.083142076971,0.0002781081750498022,,,,1000.0,600.0,
211,211,1305,,,,,,,,
212,212,1313,,,,,,,,
213,213,1316,,,,,,,,
214,214,1326,,,,,,,,
215,215,1327,,,,,,,,
216,216,1338,,,,,,,,
217,217,1339,,,,,,,,
218,218,1349,,,,,,,,
219,219,1352,,,,,,,,
220,220,1360,,,,,,,,
221,221,1365,,,,,,,,
222,222,1378,,,,,,,,
223,223,1391,,,,,,1000.0,600.0,
224,224,1404,,,,,,,,
225,225,1417,,,,,,,,
226,226,1430,,,,,,,,
227,227,1443,,,,,,,,
228,228,1456,,,,,,,,
229,229,1469,,,,,,,,
230,230,1482,,,,,,,,
231,231,1495,,,,,,,,
232,232,1508,,,,,,,,
233,233,1521,,,,,,,,
234,234,1534,,,,,,,,
235,235,1547,,,,,,,,
236,236,1560,,,,,,1000.0,600.0,
237,237,1573,,,,,,,,
238,238,1586,,,,,,,,
239,239,1599,,,,,,,,
240,240,1612,,,,,,,,
