,index,CPU usage [%],Memory usage [%],Average response time [ms],Failures [%],Number of pods,CPU limit,Memory limit,Given memory limit
78,484,,,0.0,,3.0,,,200.0
79,494,,,0.0,,4.0,200.0,600.0,200.0
80,495,,,0.0,,5.0,,,200.0
81,506,,,0.0,,1.0,,,400.0
82,507,,,0.0,,2.0,,,400.0
83,517,,,0.0,,3.0,,,400.0
84,520,,,0.0,,4.0,,,400.0
85,528,,,0.0,,5.0,,,400.0
86,533,,,0.0,,1.0,,,600.0
87,539,,,,,2.0,,,600.0
88,546,,,,,3.0,,,600.0
89,550,,,,,4.0,,,600.0
90,559,,,,,5.0,,,600.0
91,561,,,,,1.0,,,800.0
92,572,,,,,2.0,200.0,800.0,800.0
93,583,,,,,3.0,,,800.0
94,585,,,,,4.0,,,800.0
95,594,,,,,5.0,,,800.0
96,598,,,,,1.0,,,1000.0
97,605,,,,,2.0,,,1000.0
98,611,,,,,3.0,,,1000.0
99,616,,,,,4.0,,,1000.0
100,624,,,,,5.0,,,1000.0
101,627,,,,,1.0,,,200.0
102,637,,,,,2.0,,,200.0
103,638,,,,,3.0,,,200.0
104,649,,,,,4.0,,,200.0
105,650,,,,,5.0,200.0,800.0,200.0
106,660,,,,,1.0,,,400.0
107,663,,,,,2.0,,,400.0
108,671,,,,,3.0,,,400.0
109,676,,,,,4.0,,,400.0
110,682,,,,,5.0,,,400.0
111,689,,,,,1.0,,,600.0
112,693,,,,,2.0,,,600.0
113,702,,,,,3.0,,,600.0
114,704,,,,,4.0,,,600.0
115,715,,,,,5.0,,,600.0
116,726,,,,,1.0,,,800.0
117,728,,,,,2.0,,,800.0
118,737,,,,,3.0,200.00000000000003,800.0,800.0
119,741,,,,,4.0,,,800.0
120,748,,,,,5.0,,,800.0
121,754,,,,,1.0,,,1000.0
122,759,,,,,2.0,,,1000.0
123,767,,,,,3.0,,,1000.0
124,770,,,,,4.0,,,1000.0
125,780,,,,,5.0,,,1000.0
126,781,,,,,,,,
127,792,,,,,,,,
128,793,,,,,,,,
129,803,,,,,,,,
130,806,,,,,,,,
131,814,,,,,,200.0,800.0,
132,819,,,,,,,,
133,825,,,,,,,,
134,832,,,,,,,,
135,836,,,,,,,,
136,845,,,,,,,,
137,847,,,,,,,,
138,858,,,,,,,,
139,869,,,,,,,,
140,871,,,,,,,,
141,880,,,,,,,,
142,884,,,,,,,,
143,891,,,,,,,,
144,897,1.8227649681592664,0.0031122346497694177,,,,200.0,200.0,
145,902,,,,,,,,
146,910,,,,,,,,
147,913,,,,,,,,
148,923,,,,,,,,
149,924,,,,,,,,
150,935,,,,,,,,
151,936,,,,,,,,
152,949,,,,,,,,
153,962,,,,,,,,
154,975,,,,,,,,
155,988,,,,,,,,
156,1001,,,,,,,,
157,1014,,,,,,200.0,800.0,
158,1027,,,,,,,,
159,1040,,,,,,,,
160,1053,,,,,,,,
161,1066,,,,,,,,
162,1079,,,,,,,,
163,1092,,,,,,,,
164,1105,,,,,,,,
