,timestamp,Iteration,container_cpu_usage_seconds_total,container_memory_usage_bytes,kube_deployment_spec_replicas,kube_pod_container_resource_limits_cpu_cores,kube_pod_container_resource_limits_memory_bytes,kube_pod_container_resource_requests_cpu_cores,kube_pod_container_resource_requests_memory_bytes,response_latency_ms_count,response_latency_ms_sum,datapoints,CPU usage [%],Memory usage [%],Response time [ms]
49,2021-02-01 20:21:06.431000064,2,1.4678308,3543040.0,1.0,0.5,524288000.0,0.1,209715200.0,2153.0,78.0,23,293.56616,0.67578125,0.036228518346493266
50,2021-02-01 20:21:09.528999936,2,2.8180429,5677056.0,1.0,0.5,524288000.0,0.1,209715200.0,2153.3333333333335,78.0,24,563.60858,1.0828125,0.036222910216718265
51,2021-02-01 20:21:11.619000064,2,3.058509,7221248.0,1.0,0.5,524288000.0,0.1,209715200.0,2153.6666666666665,78.0,25,611.7017999999999,1.3773437499999999,0.03621730382293763
52,2021-02-01 20:21:16.431000064,2,2.9840689333333335,6706517.333333333,1.0,0.5,524288000.0,0.1,209715200.0,2154.0,78.0,26,596.8137866666667,1.2791666666666666,0.036211699164345405
53,2021-02-01 20:21:24.041999872,2,2.9096288666666665,6191786.666666667,1.0,0.5,524288000.0,0.1,209715200.0,2157.5,78.0,27,581.9257733333333,1.1809895833333335,0.03615295480880649
54,2021-02-01 20:23:33.119000064,3,2.8351888,5677056.0,1.0,0.5,524288000.0,0.1,209715200.0,2161.0,78.0,1,567.03776,1.0828125,0.036094400740397964
55,2021-02-01 20:23:36.319000064,3,3.0761834,7221248.0,1.0,0.5,524288000.0,0.1,209715200.0,2164.5,78.0,2,615.23668,1.3773437499999999,0.036036036036036036
56,2021-02-01 20:23:36.431000064,3,1.59690105,4315136.0,1.0,0.5,524288000.0,0.1,209715200.0,2168.0,78.0,3,319.38021000000003,0.8230468750000001,0.035977859778597784
57,2021-02-01 20:23:42.972999936,3,0.1176187,1409024.0,1.0,0.5,524288000.0,0.1,209715200.0,2168.5,78.0,4,23.52374,0.26875,0.03596956421489509
58,2021-02-01 20:23:46.431000064,3,0.8580160499999999,2862080.0,1.0,0.5,524288000.0,0.1,209715200.0,2169.0,78.0,5,171.60321,0.5458984375,0.035961272475795295
59,2021-02-01 20:23:54.041999872,3,1.5984133999999999,4315136.0,1.0,0.5,524288000.0,0.1,209715200.0,2169.5,78.0,6,319.68267999999995,0.8230468750000001,0.03595298455865407
60,2021-02-01 20:23:56.431000064,3,2.33881075,5768192.0,1.0,0.5,524288000.0,0.1,209715200.0,2170.0,78.0,7,467.76214999999996,1.1001953125,0.035944700460829496
61,2021-02-01 20:24:03.617999872,3,3.0792081,7221248.0,1.0,0.5,524288000.0,0.1,209715200.0,2170.5,78.0,8,615.8416199999999,1.3773437499999999,0.0359364201796821
62,2021-02-01 20:24:06.431000064,3,2.95953885,6449152.0,1.0,0.5,524288000.0,0.1,209715200.0,2171.0,78.0,9,591.90777,1.230078125,0.03592814371257485
63,2021-02-01 20:24:07.236999936,3,2.8398696,5677056.0,1.0,0.5,524288000.0,0.1,209715200.0,2171.3333333333335,78.0,10,567.97392,1.0828125,0.035922628185446726
