Iteration,pod,Unnamed: 0,run,Unnamed: 0.1,cpu throttled total,cpu usage,latency95,median latency,memory usage,average response time,average rps,cpu limit,memory limit,number of pods,RPS,rps delta,ratio response time,ratio cpu usage,ratio memory usage
11,webui,10,8,10,165.1468767,73.82298160534742,14435.85840629958,1568.0136150614092,61.54000000000001,4699.533424327288,8.204807692307693,300.0,500.0,1.0,10.0,-0.1433333333333331,1494.8396463585434,88.95669283444364,68.67864000000002
12,webui,11,8,11,230.20829346666665,51.207915969113934,6695.387520057282,350.39353158918385,65.44071428571428,3991.211611168367,10.128737307724178,300.0,500.0,2.0,10.0,0.0057142857142858,327.8682331298792,58.3917972517912,64.49931428571426
13,webui,12,8,12,264.72618805,46.43791757824349,4747.901957338331,121.16308922558926,68.47999999999999,3034.223818153758,11.342897225713315,300.0,500.0,3.0,10.0,0.071440576230492,108.70044425140568,40.2017825098708,63.07973271919029
14,webui,13,8,13,275.5886626,35.05663447670079,3520.446909041376,72.89726116829773,68.65892857142858,2301.792462367251,11.542978694729053,300.0,500.0,4.0,10.0,0.1056102811609895,65.81485438731868,31.414789584583342,59.38856331266005
15,webui,14,8,14,271.59201208,30.209911687434808,3021.0521449003704,57.365565381073104,68.81542857142855,1845.489265557448,11.785810211023298,300.0,500.0,5.0,10.0,0.1228709376088286,48.26719004677542,25.467631827638343,58.44359518823908
16,webui,15,8,15,171.8041969,72.48412697247562,15099.08355916892,1568.0136150614092,55.60714285714285,5069.259385897533,7.966961717169617,300.0,550.0,1.0,10.0,-0.2134379644765104,1630.7341596638655,88.92832251319007,62.3425
17,webui,16,8,16,226.7083931,53.96509463176828,7065.469917929288,637.287397558681,60.68214285714284,4220.871026470817,9.314341437286272,300.0,550.0,2.0,10.0,-0.0685658562713728,956.6707495835784,54.37272858670379,63.82136822889141
18,webui,17,8,17,255.820197575,42.27534533653816,3841.23205085009,116.3948848770277,62.30000000000001,2863.3780730266967,11.18570715385707,300.0,550.0,3.0,10.0,0.0657142857142856,102.80294081404264,36.95058361452542,54.91304443147047
19,webui,18,8,18,281.75438982000003,37.93549779028364,3374.0781468554424,66.49184103670304,62.79857142857145,2137.0199540690287,11.842797155713686,300.0,550.0,4.0,10.0,0.1228571428571427,53.23334069605606,30.494494510182324,54.36583562066395
20,webui,19,8,19,282.9689531666667,30.485629032445523,2728.525031505704,50.55711376495691,63.18828571428575,1727.9364483000224,11.857200019429143,300.0,550.0,5.0,10.0,0.0657191559136496,47.8717695659004,26.06532037989599,56.90814463208193
21,webui,20,8,20,167.9690864,71.05412409536476,13284.922138047132,1568.0136150614092,50.80571428571428,3931.1882534908486,8.483333333333333,300.0,600.0,1.0,10.0,-0.0999913279999132,1552.333478910795,80.63663256424478,54.57164081632653
22,webui,21,8,21,231.6011801,57.60623682004311,5585.038294096211,248.6408106954984,55.94499999999999,3497.6080185757373,9.828655741000844,300.0,600.0,2.0,10.0,-0.121355513292773,252.90112824205528,60.19613888030907,59.313406630478056
23,webui,22,8,22,251.44597075,46.178716864661496,4220.643923896585,93.13237197484746,57.03238095238096,2431.6458473007724,10.90326758135001,300.0,600.0,3.0,10.0,0.035715578842905,87.28155063364908,43.02018791712448,51.88083087223201
24,webui,23,8,23,273.56955042,31.92903868202647,3086.008818457874,50.39615422673679,58.452142857142846,1806.395955378155,11.27144287971443,300.0,600.0,4.0,10.0,0.071422008371432,45.98851537949673,31.770155507230875,54.62166834623997
25,webui,24,8,24,271.90349002,29.307099625542048,2294.765161818818,56.40309292963104,58.83257142857141,1501.7552078130018,11.528717360856836,300.0,600.0,5.0,10.0,0.0971631603730928,51.72948368031439,25.992587529639177,51.10639894066915
26,webui,25,8,25,148.9648794,69.15070719583588,11248.32417582417,1568.0136150614092,74.88714285714286,3373.907223185037,10.5,350.0,400.0,1.0,10.0,-0.0433333333333333,1489.6129343083387,71.13531172951693,74.88714285714285
