,run,Unnamed: 0,index,Iteration,pod,datapoint_x,cpu throttled total,datapoint_y,cpu usage,memory usage,cpu limit,memory limit,number of pods,average response time
19,1,19,139,20,webui,125.15151515151516,180.11681917500002,13.5,27.0386663397588,38.93076923076923,200.0,900.0,5.0,791.4648259031187
20,1,20,146,21,webui,159.7462686567164,266.9839072875,26.5,44.80447397090432,43.197307692307696,200.0,1000.0,1.0,713.8833264489392
21,1,21,153,22,webui,194.2878787878788,286.690056325,39.5,45.28729976885227,44.66871794871796,200.0,1000.0,2.0,641.0631451809421
22,1,22,160,23,webui,227.2878787878788,277.39114535,52.5,40.55721067058369,44.08250000000002,200.0,1000.0,3.0,611.0418978013048
23,1,23,167,24,webui,154.6290322580645,481.0329292375,26.5,57.42614413521436,47.79076923076926,200.0,1000.0,4.0,3881.816421587497
24,1,24,174,25,webui,262.7814371257485,269.554374365,65.5,34.94484278622963,44.17000000000004,200.0,1000.0,5.0,604.0162834669221
25,1,25,181,26,webui,129.44117647058823,152.34166095,13.5,27.702572617403696,37.61153846153846,300.0,600.0,1.0,792.4564954439159
26,1,26,188,27,webui,158.0,257.04278295,26.5,45.83184782938081,40.82692307692309,300.0,600.0,2.0,698.8787911531318
27,1,27,195,28,webui,192.85128205128208,276.8022983363636,39.5,47.74763283886892,40.14384615384616,300.0,600.0,3.0,626.4474776107139
28,1,28,202,29,webui,228.4566037735849,282.6332788133333,52.5,41.29935318638474,39.150000000000006,300.0,600.0,4.0,602.5430135696265
29,1,29,209,30,webui,263.8089552238806,269.5274410315789,65.5,34.93372632383848,39.61092307692306,300.0,600.0,5.0,603.053402768047
30,1,30,216,31,webui,187.09574468085103,638.9346871500001,39.5,61.80497351843788,48.01384615384616,300.0,700.0,1.0,2401.672927495847
31,1,31,223,32,webui,209.91379310344828,757.3997504312499,52.5,62.93130135131408,47.43230769230773,300.0,700.0,2.0,1742.5405522715062
32,1,32,230,33,webui,240.15753424657532,844.4212468449999,65.5,61.23460133863818,48.43953846153845,300.0,700.0,3.0,1373.1246490997446
33,1,33,237,34,webui,114.0,331.14911145,13.5,46.21083075284632,35.07769230769231,300.0,700.0,4.0,6814.276371308018
34,1,34,244,35,webui,153.25396825396825,492.0531021875,26.5,58.44913235615899,41.399230769230776,300.0,700.0,5.0,3471.4116300366304
35,1,35,251,36,webui,182.1304347826087,629.3716348166666,39.5,60.53581323944477,42.57897435897434,300.0,800.0,1.0,2260.092361025133
36,1,36,258,37,webui,216.6290322580645,752.6266866562502,52.5,61.55153281589038,42.80692307692309,300.0,800.0,2.0,1742.188525992377
37,1,37,265,38,webui,141.1271186440678,509.1007854333333,26.5,54.09235241280793,62.7480769230769,300.0,800.0,3.0,3031.438785608256
38,1,38,272,39,webui,246.34415584415584,853.3442545599999,65.5,60.89648651597056,43.49707692307693,300.0,800.0,4.0,1445.6332556366408
39,1,39,279,40,webui,118.60344827586206,291.78418780000004,13.5,42.192228412223095,31.572307692307696,300.0,800.0,5.0,7383.705614035088
40,1,40,286,41,webui,156.32539682539684,456.1915756749999,26.5,57.69347684258205,38.13807692307692,300.0,900.0,1.0,3907.9437716599823
41,1,41,293,42,webui,184.15217391304347,607.8197556583333,39.5,60.95877014227459,38.62435897435897,300.0,900.0,2.0,2362.185350566905
42,1,42,300,43,webui,213.90983606557376,736.88266546875,52.5,62.65444297283607,39.73519230769234,300.0,900.0,3.0,1719.5600021672433
43,1,43,307,44,webui,256.0490797546012,832.07065902,65.5,63.59996566839488,39.74230769230768,300.0,900.0,4.0,1333.555023729528
44,1,44,314,45,webui,119.15254237288136,244.0998291333333,13.5,34.6919491138103,54.166153846153854,300.0,900.0,5.0,2364.091395501201
