Timestamp,User Count,Type,Name,Requests/s,Failures/s,9000%,9500%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1612484267,1,,Aggregated,131.250000,0.000000,46,46,966,0,0,6.113871635606006,0,46.000000002095476,13.973084886128364
1612484268,1,GET,/healthcheck,10.800000,0.000000,16,16,93,0,0,6.204301075163668,0,16.00000000325963,16.0
1612484268,1,GET,/square/1,12.800000,0.000000,16,16,104,0,0,5.875000000042537,0,16.00000000325963,13.0
1612484268,1,GET,/square/10,12.600000,0.000000,46,46,104,0,0,6.730769230811207,0,46.000000002095476,15.0
1612484268,1,GET,/square/2,12.800000,0.000000,16,16,104,0,0,5.653846153808654,0,16.00000000325963,13.0
1612484268,1,GET,/square/3,12.800000,0.000000,16,16,104,0,0,6.490384615482561,0,16.00000000325963,13.0
1612484268,1,GET,/square/4,12.800000,0.000000,31,31,104,0,0,5.875000000112498,0,31.000000002677552,14.0
1612484268,1,GET,/square/5,12.800000,0.000000,16,16,104,0,0,5.999999999823138,0,16.00000000325963,14.0
1612484268,1,GET,/square/6,12.800000,0.000000,16,16,104,0,0,6.913461538365832,0,16.00000000325963,14.0
1612484268,1,GET,/square/7,12.600000,0.000000,16,16,104,0,0,4.807692307762268,0,16.00000000325963,14.0
1612484268,1,GET,/square/8,12.600000,0.000000,16,16,104,0,0,6.307692307578131,0,16.00000000325963,14.0
1612484268,1,GET,/square/9,12.600000,0.000000,16,16,104,0,0,5.596153846174555,0,16.00000000325963,14.0
1612484268,1,,Aggregated,138.000000,0.000000,46,46,1133,0,0,6.0397175639772325,0,46.000000002095476,13.980582524271844
1612484269,1,GET,/healthcheck,11.166667,0.000000,16,16,105,0,0,6.542857142700259,0,16.00000000325963,16.0
1612484269,1,GET,/square/1,13.166667,0.000000,16,16,120,0,0,6.016666666740396,0,16.00000000325963,13.0
1612484269,1,GET,/square/10,13.000000,0.000000,46,46,119,0,0,6.01680672269201,0,46.000000002095476,15.0
1612484269,1,GET,/square/2,13.166667,0.000000,16,16,120,0,0,5.41666666661816,0,16.00000000325963,13.0
1612484269,1,GET,/square/3,13.166667,0.000000,16,16,120,0,0,6.525000000025709,0,16.00000000325963,13.0
1612484269,1,GET,/square/4,13.166667,0.000000,31,31,120,0,0,5.608333333475457,0,31.000000002677552,14.0
1612484269,1,GET,/square/5,13.166667,0.000000,16,16,119,0,0,6.033613445262225,0,16.00000000325963,14.0
1612484269,1,GET,/square/6,13.166667,0.000000,16,16,119,0,0,6.8487394956956,0,16.00000000325963,14.0
1612484269,1,GET,/square/7,13.166667,0.000000,16,16,119,0,0,4.8571428572152495,0,16.00000000325963,14.0
1612484269,1,GET,/square/8,13.166667,0.000000,16,16,119,0,0,6.277310924272898,0,16.00000000325963,14.0
1612484269,1,GET,/square/9,13.000000,0.000000,16,16,119,0,0,6.075630252146331,0,16.00000000325963,14.0
1612484269,1,,Aggregated,142.500000,0.000000,46,46,1299,0,0,6.013856812920344,0,46.000000002095476,13.976135488837567
1612484270,1,GET,/healthcheck,11.571429,0.000000,16,16,128,0,0,6.578124999805368,0,16.00000000325963,16.0
1612484270,1,GET,/square/1,13.571429,0.000000,16,16,134,0,0,5.970149253807361,0,16.00000000325963,13.0
1612484270,1,GET,/square/10,13.428571,0.000000,46,46,133,0,0,5.977443609064133,0,46.000000002095476,15.0
1612484270,1,GET,/square/2,13.428571,0.000000,16,16,134,0,0,5.089552238756885,0,16.00000000325963,13.0
1612484270,1,GET,/square/3,13.428571,0.000000,16,16,134,0,0,7.134328358087761,0,16.00000000325963,13.0
1612484270,1,GET,/square/4,13.428571,0.000000,31,31,134,0,0,5.373134328529791,0,31.000000002677552,14.0
