timestamp,__name__,container,endpoint,instance,job,namespace,node,pod,service,value,id,image,metrics_path,name,deployment,control_plane_component,control_plane_ns,direction,no_tls_reason,pod_template_hash,status_code,tls,workload_ns,client_id,authority,dst_control_plane_ns,dst_deployment,dst_namespace,dst_pod,dst_pod_template_hash,dst_serviceaccount,server_id,app,run,dst_service
1614843240.101,response_latency_ms_count,,,10.1.37.198:4191,linkerd-proxy,linkerd,,linkerd-prometheus-5bccd64d4d-jzwmt,,30,,,,,linkerd-prometheus,prometheus,linkerd,outbound,,5bccd64d4d,200,true,linkerd,,10.1.40.244:4191,linkerd,teastore-webui,teastore,teastore-webui-84fb8c9bcb-w87vk,84fb8c9bcb,default,default.teastore.serviceaccount.identity.linkerd.cluster.local,,,
1614843250.103,response_latency_ms_count,,,10.1.37.198:4191,linkerd-proxy,linkerd,,linkerd-prometheus-5bccd64d4d-jzwmt,,30,,,,,linkerd-prometheus,prometheus,linkerd,outbound,,5bccd64d4d,200,true,linkerd,,10.1.40.244:4191,linkerd,teastore-webui,teastore,teastore-webui-84fb8c9bcb-w87vk,84fb8c9bcb,default,default.teastore.serviceaccount.identity.linkerd.cluster.local,,,
1614843260.101,response_latency_ms_count,,,10.1.37.198:4191,linkerd-proxy,linkerd,,linkerd-prometheus-5bccd64d4d-jzwmt,,30,,,,,linkerd-prometheus,prometheus,linkerd,outbound,,5bccd64d4d,200,true,linkerd,,10.1.40.244:4191,linkerd,teastore-webui,teastore,teastore-webui-84fb8c9bcb-w87vk,84fb8c9bcb,default,default.teastore.serviceaccount.identity.linkerd.cluster.local,,,
1614843270.101,response_latency_ms_count,,,10.1.37.198:4191,linkerd-proxy,linkerd,,linkerd-prometheus-5bccd64d4d-jzwmt,,30,,,,,linkerd-prometheus,prometheus,linkerd,outbound,,5bccd64d4d,200,true,linkerd,,10.1.40.244:4191,linkerd,teastore-webui,teastore,teastore-webui-84fb8c9bcb-w87vk,84fb8c9bcb,default,default.teastore.serviceaccount.identity.linkerd.cluster.local,,,
1614843280.101,response_latency_ms_count,,,10.1.37.198:4191,linkerd-proxy,linkerd,,linkerd-prometheus-5bccd64d4d-jzwmt,,30,,,,,linkerd-prometheus,prometheus,linkerd,outbound,,5bccd64d4d,200,true,linkerd,,10.1.40.244:4191,linkerd,teastore-webui,teastore,teastore-webui-84fb8c9bcb-w87vk,84fb8c9bcb,default,default.teastore.serviceaccount.identity.linkerd.cluster.local,,,
1614843290.101,response_latency_ms_count,,,10.1.37.198:4191,linkerd-proxy,linkerd,,linkerd-prometheus-5bccd64d4d-jzwmt,,30,,,,,linkerd-prometheus,prometheus,linkerd,outbound,,5bccd64d4d,200,true,linkerd,,10.1.40.244:4191,linkerd,teastore-webui,teastore,teastore-webui-84fb8c9bcb-w87vk,84fb8c9bcb,default,default.teastore.serviceaccount.identity.linkerd.cluster.local,,,
1614843300.101,response_latency_ms_count,,,10.1.37.198:4191,linkerd-proxy,linkerd,,linkerd-prometheus-5bccd64d4d-jzwmt,,30,,,,,linkerd-prometheus,prometheus,linkerd,outbound,,5bccd64d4d,200,true,linkerd,,10.1.40.244:4191,linkerd,teastore-webui,teastore,teastore-webui-84fb8c9bcb-w87vk,84fb8c9bcb,default,default.teastore.serviceaccount.identity.linkerd.cluster.local,,,
1614843310.101,response_latency_ms_count,,,10.1.37.198:4191,linkerd-proxy,linkerd,,linkerd-prometheus-5bccd64d4d-jzwmt,,30,,,,,linkerd-prometheus,prometheus,linkerd,outbound,,5bccd64d4d,200,true,linkerd,,10.1.40.244:4191,linkerd,teastore-webui,teastore,teastore-webui-84fb8c9bcb-w87vk,84fb8c9bcb,default,default.teastore.serviceaccount.identity.linkerd.cluster.local,,,
1614843320.101,response_latency_ms_count,,,10.1.37.198:4191,linkerd-proxy,linkerd,,linkerd-prometheus-5bccd64d4d-jzwmt,,30,,,,,linkerd-prometheus,prometheus,linkerd,outbound,,5bccd64d4d,200,true,linkerd,,10.1.40.244:4191,linkerd,teastore-webui,teastore,teastore-webui-84fb8c9bcb-w87vk,84fb8c9bcb,default,default.teastore.serviceaccount.identity.linkerd.cluster.local,,,
1614843330.101,response_latency_ms_count,,,10.1.37.198:4191,linkerd-proxy,linkerd,,linkerd-prometheus-5bccd64d4d-jzwmt,,30,,,,,linkerd-prometheus,prometheus,linkerd,outbound,,5bccd64d4d,200,true,linkerd,,10.1.40.244:4191,linkerd,teastore-webui,teastore,teastore-webui-84fb8c9bcb-w87vk,84fb8c9bcb,default,default.teastore.serviceaccount.identity.linkerd.cluster.local,,,
1614843340.101,response_latency_ms_count,,,10.1.37.198:4191,linkerd-proxy,linkerd,,linkerd-prometheus-5bccd64d4d-jzwmt,,30,,,,,linkerd-prometheus,prometheus,linkerd,outbound,,5bccd64d4d,200,true,linkerd,,10.1.40.244:4191,linkerd,teastore-webui,teastore,teastore-webui-84fb8c9bcb-w87vk,84fb8c9bcb,default,default.teastore.serviceaccount.identity.linkerd.cluster.local,,,
1614843350.101,response_latency_ms_count,,,10.1.37.198:4191,linkerd-proxy,linkerd,,linkerd-prometheus-5bccd64d4d-jzwmt,,30,,,,,linkerd-prometheus,prometheus,linkerd,outbound,,5bccd64d4d,200,true,linkerd,,10.1.40.244:4191,linkerd,teastore-webui,teastore,teastore-webui-84fb8c9bcb-w87vk,84fb8c9bcb,default,default.teastore.serviceaccount.identity.linkerd.cluster.local,,,
1614843360.101,response_latency_ms_count,,,10.1.37.198:4191,linkerd-proxy,linkerd,,linkerd-prometheus-5bccd64d4d-jzwmt,,30,,,,,linkerd-prometheus,prometheus,linkerd,outbound,,5bccd64d4d,200,true,linkerd,,10.1.40.244:4191,linkerd,teastore-webui,teastore,teastore-webui-84fb8c9bcb-w87vk,84fb8c9bcb,default,default.teastore.serviceaccount.identity.linkerd.cluster.local,,,
1614843370.101,response_latency_ms_count,,,10.1.37.198:4191,linkerd-proxy,linkerd,,linkerd-prometheus-5bccd64d4d-jzwmt,,30,,,,,linkerd-prometheus,prometheus,linkerd,outbound,,5bccd64d4d,200,true,linkerd,,10.1.40.244:4191,linkerd,teastore-webui,teastore,teastore-webui-84fb8c9bcb-w87vk,84fb8c9bcb,default,default.teastore.serviceaccount.identity.linkerd.cluster.local,,,
1614843380.101,response_latency_ms_count,,,10.1.37.198:4191,linkerd-proxy,linkerd,,linkerd-prometheus-5bccd64d4d-jzwmt,,30,,,,,linkerd-prometheus,prometheus,linkerd,outbound,,5bccd64d4d,200,true,linkerd,,10.1.40.244:4191,linkerd,teastore-webui,teastore,teastore-webui-84fb8c9bcb-w87vk,84fb8c9bcb,default,default.teastore.serviceaccount.identity.linkerd.cluster.local,,,
